frequency_Hz,normalized_margin,normalized_lower_bound,normalized_upper_bound,classification
0.805,-0.294374188367076,-0.294374188367076,-0.292195101650645,non-sectorial
0.81,-0.295594700991081,-0.295594700991081,-0.293414161084077,non-sectorial
0.815,-0.296814491850528,-0.296814491850528,-0.294633126196798,non-sectorial
0.82,-0.298033232504736,-0.298033232504736,-0.295851574701545,non-sectorial
0.825,-0.299250610571728,-0.299250610571728,-0.297069109148625,non-sectorial
0.83,-0.300466329225021,-0.300466329225021,-0.298285355785748,non-sectorial
0.835,-0.3016801066889,-0.3016801066889,-0.299499963456725,non-sectorial
0.84,-0.302891675734364,-0.302891675734364,-0.30071220743114,non-sectorial
0.845,-0.304100783177646,-0.304100783177646,-0.301920356679334,non-sectorial
0.85,-0.305307189383003,-0.305307189383003,-0.303126115177725,non-sectorial
0.855,-0.306510667771223,-0.306510667771223,-0.304329204674989,non-sectorial
0.86,-0.307711004335129,-0.307711004335129,-0.305529364854763,non-sectorial
0.865,-0.308907997163161,-0.308907997163161,-0.306726352456424,non-sectorial
0.87,-0.310101455971949,-0.310101455971949,-0.307919940431997,non-sectorial
0.875,-0.311291201648661,-0.311291201648661,-0.309109917138404,non-sectorial
0.88,-0.312477065803741,-0.312477065803741,-0.310296085564171,non-sectorial
0.885,-0.313658890334594,-0.313658890334594,-0.311478262589665,non-sectorial
0.89,-0.314836527000573,-0.314836527000573,-0.312656278279895,non-sectorial
0.895,-0.316009837009629,-0.316009837009629,-0.31382997520887,non-sectorial
0.9,-0.317178690616811,-0.317178690616811,-0.314998990183455,non-sectorial
0.905,-0.31834296673479,-0.31834296673479,-0.316162909415702,non-sectorial
0.91,-0.319502552556464,-0.319502552556464,-0.317322214120744,non-sectorial
0.915,-0.32065734318969,-0.32065734318969,-0.318476786182787,non-sectorial
0.92,-0.321807241304074,-0.321807241304074,-0.319626517232334,non-sectorial
0.925,-0.322952156789781,-0.322952156789781,-0.320771308132061,non-sectorial
0.93,-0.324092006428216,-0.324092006428216,-0.321911068487241,non-sectorial
0.935,-0.325226713574429,-0.325226713574429,-0.323045716179742,non-sectorial
0.94,-0.326356207851078,-0.326356207851078,-0.324175176924635,non-sectorial
