impedance_scale_kappa,SCR,damping_D,maximum_real_pole_Hz,dominant_oscillation_frequency_Hz,closed_loop_reference,sampled_criterion_status,final_classification,gain_pass_count,gain_fail_count,gain_indeterminate_count,phase_pass_count,phase_fail_count,phase_indeterminate_count,uncovered_frequency_count,indeterminate_frequency_count,converter_phase_seed_frequency_Hz,network_phase_seed_frequency_Hz,maximum_transformation_condition,maximum_interconnection_residual
0.9,0.993807989999906,0.35,-0.222001102332547,0.517737164037884,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,44,77,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.08167679791406e-16
0.9,0.993807989999906,0.4,-0.254079700714995,0.490793319332298,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,43,78,0,121,0,0,0,0,0.001,0.001,19.3298529856282,1.08235473207285e-15
0.9,0.993807989999906,0.45,-0.282376874514846,0.460925598638604,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,1.07447632025839e-15
0.9,0.993807989999906,0.5,-0.306372837423982,0.4288520856165,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.712955995855e-16
1,0.894427190999916,0.04,0.0299564922188295,0.578672667609623,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,52,4,9,0,0.00170306502925284,0.001,19.3298529856282,5.49628375282499e-16
1,0.894427190999916,0.05,0.0211544371034783,0.578113296840319,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,51,5,9,0,0.00196922025547917,0.001,19.3298529856282,7.46586777111387e-16
1,0.894427190999916,0.06,0.0123906982789202,0.577395141186959,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,47,74,0,65,50,6,9,0,0.00224052786930002,0.001,19.3298529856282,7.43619850125726e-16
1,0.894427190999916,0.08,-0.00501495595998307,0.575483960344625,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,47,74,0,65,50,6,9,0,0.00224052786930002,0.001,19.3298529856282,5.20615973811383e-16
1,0.894427190999916,0.1,-0.0222457914492682,0.572941553455517,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,66,50,5,9,0,0.00196922025547917,0.001,19.3298529856282,8.84716067956923e-16
1,0.894427190999916,0.12,-0.0392855257300423,0.569769623728593,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,66,55,0,9,0,0.001,0.001,19.3298529856282,9.62358192301953e-16
1,0.894427190999916,0.14,-0.0561160993987069,0.565969370321346,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,85,36,0,9,0,0.001,0.001,19.3298529856282,7.07320128115038e-16
1,0.894427190999916,0.16,-0.0727174934686834,0.561541741872521,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,91,30,0,9,0,0.001,0.001,19.3298529856282,1.31517179616783e-15
1,0.894427190999916,0.18,-0.0890675424039229,0.556487733090142,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,95,26,0,9,0,0.001,0.001,19.3298529856282,9.56171523337826e-16
1,0.894427190999916,0.2,-0.105141750484861,0.550808735932189,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,98,23,0,9,0,0.001,0.001,19.3298529856282,8.40083073189432e-16
1,0.894427190999916,0.25,-0.143936805707239,0.533894772105282,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,103,18,0,9,0,0.001,0.001,19.3298529856282,9.31078431888179e-16
1,0.894427190999916,0.3,-0.180337012167489,0.513175018188537,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,44,77,0,110,11,0,8,0,0.001,0.001,19.3298529856282,1.05762234066337e-15
1,0.894427190999916,0.35,-0.213748242713688,0.488850636959284,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,43,78,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.81721429733792e-16
