case_name,frequency_Hz,Y11_real,Y11_imag,Y12_real,Y12_imag,Y21_real,Y21_imag,Y22_real,Y22_imag
stable,1.40218317914034,1.19408721221483,-1.62409850843279,8.04651416833492,3.87718695310785,-8.7648384855149,-1.95372734188449,0.12864038931415,4.11148702109943
stable,1.47245448086079,1.06535322393183,-1.51015849847536,8.2861840850437,3.77078313115728,-8.88861443219127,-1.87889736672802,0.349046876641798,4.0533588013656
stable,1.54624747355496,0.946855884932255,-1.38387016397928,8.51491074490352,3.64538431340621,-9.00455648362119,-1.79401847836479,0.561072807496602,3.97985747169696
stable,1.62373864900557,0.84025657360649,-1.24658291028468,8.73008936353405,3.50254498333113,-9.11127857032225,-1.70022811953665,0.762513652479465,3.89230619247704
stable,1.70511334399327,0.746955628210858,-1.0999377136166,8.92942140288648,3.34428178700714,-9.20761866943354,-1.59891169657758,0.951426083045844,3.79242360863458
stable,1.79056618356931,0.668030136214621,-0.945803571237356,9.11101478787243,3.17299704516004,-9.29269227862632,-1.49164770592806,1.12621415958398,3.68225794372805
stable,1.8803015465432,0.604190648928353,-0.786199045817094,9.27346061813794,2.99137745210627,-9.36592951963609,-1.38013993891268,1.28569521360913,3.56409958014374
stable,1.9745340542984,0.555760579740746,-0.623205488578725,9.41587972821589,2.80227641627236,-9.42709258370028,-1.26614245867792,1.42913962256605,3.44037942075598
stable,2.07348908410554,0.522679480666286,-0.458879402521021,9.53793585584124,2.60859026489314,-9.47627244658412,-1.15138382011965,1.55628161368299,3.31356188118653
stable,2.17740330816047,0.504528721011369,-0.295171210123463,9.63981596117561,2.41313882434155,-9.51386609722106,-1.03749685251518,1.66730150769678,3.18604163913962
stable,2.28652525963663,0.500575778806339,-0.133856499952731,9.72218173233636,2.21855971212207,-9.540537538834,-0.925959311550219,1.76278284783529,3.06005227610042
stable,2.40111592710553,0.509831761022373,0.0235160775352701,9.78609895222662,2.02722335058524,-9.55716722090315,-0.818049070708803,1.84365016570697,2.93759295382499
stable,2.52144937874688,0.53111607239701,0.175658320555425,9.83295285431102,1.84117274598867,-9.5647951860507,-0.714815599048607,1.91109442148414,2.82037671154166
stable,2.64781341784154,0.563122335939563,0.321557595978462,9.86435780287221,1.66208903207704,-9.56456308101787,-0.617067608682828,1.9664933667574,2.70980133473325
stable,2.78051027111478,0.604480550500227,0.460475524214439,9.88206878127978,1.49128113479168,-9.55765943841474,-0.525375225522769,2.01133337047813,2.60694144828113
stable,2.91985731157643,0.653811781784483,0.591933360159027,9.88790059858309,1.32969598421523,-9.54527151736315,-0.440083999747504,2.04713791109723,2.51255879568378
stable,3.06618781758652,0.709773139564096,0.715687760489276,9.88365881654813,1.17794459654025,-9.52854574009365,-0.361337564688147,2.07540630318325,2.42712668415951
