case_id,damping_D,frequency_Hz,Yc11_real,Yc11_imag,Yc12_real,Yc12_imag,Yc21_real,Yc21_imag,Yc22_real,Yc22_imag,Ynet11_real,Ynet11_imag,Ynet12_real,Ynet12_imag,Ynet21_real,Ynet21_imag,Ynet22_real,Ynet22_imag
fig8_D_0p05,0.050000000000000003,0.0014261137071941285,0.50000031064930861,-2.4384311404379272e-05,-6.3704348728356424e-06,0.00044802741935755621,-3.6215361136349156e-07,-0.0017670826775204199,-0.50000012122760962,-1.4465997351075497e-10,0.90000000057271823,1.3690691584905577e-05,0.80000000010413064,-1.8254255466341042e-05,-0.80000000010413053,1.8254255466341039e-05,0.90000000057271823,1.3690691584905577e-05
fig8_D_0p05,0.050000000000000003,0.0014493095741262166,0.5000003208369721,-2.4780942273258911e-05,-6.5793517277605686e-06,0.00045531464487380693,-3.7403034089042442e-07,-0.0017958244324700842,-0.50000012520323711,-1.5183413367534531e-10,0.90000000059150032,1.3913371907247414e-05,0.80000000010754546,-1.8551162563778779e-05,-0.80000000010754557,1.8551162563778776e-05,0.90000000059150032,1.391337190724741e-05
fig8_D_0p05,0.050000000000000003,0.0014728827239075034,0.50000033135873734,-2.5184025264616166e-05,-6.7951199650067388e-06,0.00046272039873107454,-3.8629656450364647e-07,-0.0018250336744961904,-0.50000012930924442,-1.593640840154959e-10,0.90000000061089835,1.413967414493132e-05,0.80000000011107253,-1.885289888172132e-05,-0.80000000011107231,1.885289888172132e-05,0.90000000061089835,1.4139674144931323e-05
fig8_D_0p05,0.050000000000000003,0.0014968392930772554,0.50000034222556133,-2.5593665366736551e-05,-7.0179642744919891e-06,0.00047024660885135579,-3.9896505555844786e-07,-0.0018547180073110235,-0.50000013354990702,-1.6726746935235778e-10,0.90000000063093266,1.4369657208733775e-05,0.80000000011471517,-1.9159542967873026e-05,-0.80000000011471506,1.9159542967873022e-05,0.90000000063093255,1.4369657208733772e-05
fig8_D_0p05,0.050000000000000003,0.0015211855179861049,0.50000035344876004,-2.6009969277728448e-05,-7.2481167148245853e-06,0.00047789523451685027,-4.1204900630420482e-07,-0.0018848851583015997,-0.50000013792964104,-1.7556280956665545e-10,0.900000000651624,1.460338096762029e-05,0.80000000011847705,-1.9471174647523799e-05,-0.80000000011847705,1.9471174647523799e-05,0.90000000065162389,1.460338096762029e-05
fig8_D_0p05,0.050000000000000003,0.0015459277364194769,0.50000036504002066,-2.6433045433441442e-05,-7.4858169549603192e-06,0.00048566826688015055,-4.2556204161298128e-07,-0.0019155429805412106,-0.5000001424530075,-1.8426954301081939e-10,0.90000000067299379,1.4840906264330399e-05,0.80000000012236261,-1.9787875044329011e-05,-0.80000000012236239,1.9787875044329007e-05,0.90000000067299368,1.4840906264330402e-05
fig8_D_0p05,0.050000000000000003,0.0015710723892474504,0.50000037701141387,-2.6863004035844477e-05,-7.7313125237851231e-06,0.00049356772948274568,-4.3951823320426131e-07,-0.0019466994548337255,-0.50000014712471652,-1.9340807204208926e-10,0.90000000069506436,1.5082294931216269e-05,0.8000000001263754,-2.010972660142767e-05,-0.80000000012637529,2.010972660142767e-05,0.90000000069506436,1.5082294931216269e-05
fig8_D_0p05,0.050000000000000003,0.0015966260221014269,0.50000038937540592,-2.7299957081870791e-05,-7.984859067882645e-06,0.00050159567878195423,-4.539321142547903e-07,-0.001978362691791107,-0.50000015194963299,-2.0299981085277028e-10,0.90000000071785879,1.5327609806338744e-05,0.80000000013051986,-2.043681310290383e-05,-0.80000000013051975,2.043681310290383e-05,0.90000000071785879,1.5327609806338744e-05
fig8_D_0p05,0.050000000000000003,0.0016225952870780871,0.50000040214487207,-2.7744018392738186e-05,-8.2467206177556685e-06,0.0005097542046864431,-4.6881869457046643e-07,-0.0020105409339447326,-0.50000015693278133,-2.1306723561797191e-10,0.90000000074140085,1.557691474982531e-05,0.8000000001348001,-2.0769219695597222e-05,-0.8000000001348001,2.0769219695597222e-05,0.90000000074140085,1.5576914749825306e-05
fig8_D_0p05,0.050000000000000003,0.001648986944471065,0.50000041533310968,-2.8195303643752429e-05,-8.5171698627783603e-06,0.00051804543110045933,-4.8419347617803532e-07,-0.0020432425578910717,-0.50000016207935083,-2.236339372081622e-10,0.90000000076571485,1.5830274660494166e-05,0.8000000001392209,-2.1107032911268677e-05,-0.8000000001392209,2.1107032911268677e-05,0.90000000076571485,1.5830274660494166e-05
fig8_D_0p05,0.050000000000000003,0.0016758078645307669,0.50000042895385233,-2.8653930394601614e-05,-8.7964884351656822e-06,0.0005264715164769191,-5.0007246951006001e-07,-0.0020764760764722212,-0.50000016739470077,-2.3472467641910406e-10,0.9000000007908262,1.6087755492748514e-05,0.80000000014378658,-2.1450340689125846e-05,-0.80000000014378647,2.145034068912585e-05,0.9000000007908262,1.6087755492748514e-05
fig8_D_0p05,0.050000000000000003,0.0017030650292528444,0.50000044302128399,-2.9120018120150494e-05,-9.0849672032559657e-06,0.00053503465437950684,-5.1647221004785804e-07,-0.0021102501409919518,-0.50000017288436616,-2.4636544203765791e-10,0.90000000081676124,1.6349424273745862e-05,0.80000000014850203,-2.1799232398715634e-05,-0.80000000014850192,2.1799232398715631e-05,0.90000000081676124,1.6349424273745868e-05
fig8_D_0p05,0.050000000000000003,0.0017307655341957258,0.50000045755005351,-2.959368824174248e-05,-9.3829065744116605e-06,0.00054373707405391499,-5.3340977553689717e-07,-0.0021445735434677607,-0.50000017855406387,-2.5858351173328612e-10,0.9000000008435467,1.661534912084633e-05,0.80000000015337225,-2.2153798863188599e-05,-0.80000000015337203,2.2153798863188599e-05,0.90000000084354659,1.661534912084633e-05
fig8_D_0p05,0.050000000000000003,0.0017589165903277326,0.50000047255529045,-3.0075064159018534e-05,-9.6906168078541502e-06,0.00055258104100839309,-5.5090280380587497e-07,-0.0021794552189195724,-0.50000018440969773,-2.7140751593788984e-10,0.90000000087121057,1.6885599259344989e-05,0.800000000158402,-2.2514132382942087e-05,-0.80000000015840189,2.2514132382942087e-05,0.90000000087121057,1.6885599259344989e-05
fig8_D_0p05,0.050000000000000003,0.0017875255259042354,0.50000048805262054,-3.0564271282261419e-05,-1.0008418337758192e-05,0.00056156885760374239,-5.6896951108886817e-07,-0.0022149042476956706,-0.50000019045736566,-2.8486750499180473e-10,0.90000000089978172,1.7160245040492527e-05,0.80000000016359674,-2.2880326759647793e-05,-0.80000000016359663,2.2880326759647793e-05,0.90000000089978172,1.7160245040492524e-05
fig8_D_0p05,0.050000000000000003,0.0018165997883753267,0.50000050405818186,-3.1061437065274251e-05,-1.0336642106942358e-05,0.00057070286365291608,-5.8762871103096304e-07,-0.0022509298578364334,-0.50000019670336537,-2.9899501952207453e-10,0.90000000092928978,1.7439357959808927e-05,0.80000000016896178,-2.3252477320670026e-05,-0.80000000016896167,2.325247732067003e-05,0.90000000092928978,1.7439357959808927e-05
fig8_D_0p05,0.050000000000000003,0.0018461469463245475,0.50000052058864164,-3.156669103880266e-05,-1.0675629911503404e-05,0.00057998543703038517,-6.0689983425593619e-07,-0.0022875414274765426,-0.50000020315420102,-3.1382316437487479e-10,0.90000000095976551,1.7723010675695235e-05,0.8000000001745029,-2.3630680943881362e-05,-0.80000000017450279,2.3630680943881362e-05,0.90000000095976551,1.7723010675695235e-05
fig8_D_0p05,0.050000000000000003,0.0018761746914391214,0.50000053766121388,-3.2080164844509534e-05,-1.1025734756752953e-05,0.00058941899429142022,-6.2680294861394703e-07,-0.0023247484872862432,-0.50000020981659021,-3.2938668616646141e-10,0.90000000099124089,1.8011277028347796e-05,0.80000000018022566,-2.4015036082881687e-05,-0.80000000018022566,2.4015036082881691e-05,0.90000000099124089,1.8011277028347792e-05
fig8_D_0p05,0.050000000000000003,0.001906690840512252,0.50000055529367704,-3.2601992269512083e-05,-1.138732122482767e-05,0.00059900599130146128,-6.4735878006760839e-07,-0.0023625607229523166,-0.50000021669747075,-3.4572205473385885e-10,0.90000000102374833,1.8304232058980308e-05,0.80000000018613615,-2.4405642792627598e-05,-0.80000000018613604,2.4405642792627595e-05,0.90000000102374833,1.8304232058980304e-05
fig8_D_0p05,0.050000000000000003,0.001937703337477989,0.50000057350439264,-3.3132309281490637e-05,-1.1760765854355549e-05,0.00060874892387573383,-6.6858873428582433e-07,-0.0024009879776994186,-0.5000002238040081,-3.6286754856660317e-10,0.90000000105732192,1.860195202935856e-05,0.80000000019224038,-2.4802602755478715e-05,-0.80000000019224027,2.4802602755478715e-05,0.90000000105732192,1.8601952029358553e-05
fig8_D_0p05,0.050000000000000003,0.0019692202554791715,0.5000005923123243,-3.3671254064378927e-05,-1.2146457532573528e-05,0.00061865032842927585,-6.9051491894539518e-07,-0.0024400402548523902,-0.50000023114360248,-3.8086334453802436e-10,0.9000000010919964,1.8904514441652648e-05,0.80000000019854489,-2.5206019307667324e-05,-0.80000000019854478,2.5206019307667324e-05,0.9000000010919964,1.8904514441652648e-05
