case_id,damping_D,value_type,value_index,real_Hz,imag_Hz,is_dominant_pair
fig8_D_0p5,0.5,closed-loop-pole,2,-0.28989136062511572,0.399601027552282,1
fig8_D_0p5,0.5,closed-loop-pole,3,-1.0371320038633336,0,0
fig8_D_0p5,0.5,closed-loop-pole,4,-4.6242861240159669,-0.69991146532467807,0
fig8_D_0p5,0.5,closed-loop-pole,5,-4.6242861240159669,0.69991146532467807,0
fig8_D_0p5,0.5,closed-loop-pole,6,-4.6251702783374471,-100.64595659332981,0
fig8_D_0p5,0.5,closed-loop-pole,7,-4.6251702783374471,100.64595659332981,0
fig8_D_0p5,0.5,closed-loop-pole,8,-22.559591300660394,-50.098029534427639,0
fig8_D_0p5,0.5,closed-loop-pole,9,-22.559591300660394,50.098029534427639,0
fig8_D_0p5,0.5,closed-loop-pole,10,-24.999999999999993,-49.999999999999993,0
fig8_D_0p5,0.5,closed-loop-pole,11,-24.999999999999993,49.999999999999993,0
fig8_D_0p5,0.5,closed-loop-pole,12,-25,-50.000000000000014,0
fig8_D_0p5,0.5,closed-loop-pole,13,-25,50.000000000000014,0
fig8_D_0p5,0.5,closed-loop-pole,14,-25.000000000000007,-50.000000000000014,0
fig8_D_0p5,0.5,closed-loop-pole,15,-25.000000000000007,50.000000000000014,0
fig8_D_0p5,0.5,closed-loop-pole,16,-243.38877122227049,-49.804468081311441,0
fig8_D_0p5,0.5,closed-loop-pole,17,-243.38877122227049,49.804468081311441,0
fig8_D_0p5,0.5,closed-loop-pole,18,-1361.8226484946224,-1903.9960820778579,0
fig8_D_0p5,0.5,closed-loop-pole,19,-1361.8226484946224,1903.9960820778579,0
fig8_D_0p5,0.5,closed-loop-pole,20,-1361.8289320060751,-2004.0287123716776,0
fig8_D_0p5,0.5,closed-loop-pole,21,-1361.8289320060751,2004.0287123716776,0
fig8_D_0p5,0.5,closed-loop-pole,22,-9645.8421434106385,-50.000454597456667,0
fig8_D_0p5,0.5,closed-loop-pole,23,-9645.8421434106385,50.000454597456667,0
fig8_D_0p5,0.5,return-zero,1,-0.28989136062511373,-0.39960102755228599,1
fig8_D_0p5,0.5,return-zero,2,-0.28989136062511373,0.39960102755228599,1
fig8_D_0p5,0.5,return-zero,3,-1.0371320038633212,0,0
fig8_D_0p5,0.5,return-zero,4,-4.6242861240159554,-0.69991146532481119,0
fig8_D_0p5,0.5,return-zero,5,-4.6242861240159554,0.69991146532481119,0
fig8_D_0p5,0.5,return-zero,6,-4.6251702783374924,-100.64595659333013,0
fig8_D_0p5,0.5,return-zero,7,-4.6251702783374924,100.64595659333013,0
fig8_D_0p5,0.5,return-zero,8,-22.559591300660394,-50.098029534427731,0
fig8_D_0p5,0.5,return-zero,9,-22.559591300660394,50.098029534427731,0
fig8_D_0p5,0.5,return-zero,10,-243.3887712222697,-49.804468081311363,0
fig8_D_0p5,0.5,return-zero,11,-243.3887712222697,49.804468081311363,0
fig8_D_0p5,0.5,return-zero,12,-1361.8226484946231,-1903.9960820778574,0
fig8_D_0p5,0.5,return-zero,13,-1361.8226484946231,1903.9960820778574,0
fig8_D_0p5,0.5,return-zero,14,-1361.8289320060715,-2004.0287123716782,0
fig8_D_0p5,0.5,return-zero,15,-1361.8289320060715,2004.0287123716782,0
fig8_D_0p5,0.5,return-zero,16,-9645.8421434106513,-50.000454597458805,0
fig8_D_0p5,0.5,return-zero,17,-9645.8421434106513,50.000454597458805,0
