case_name,frequency_Hz,normalized_separation_margin,normalized_lower_bound,normalized_upper_bound,optimal_rotation_rad,normalized_H_contribution,normalized_G_contribution,normalized_commutator,normalized_eigenvalue_gap,critical_direction_d_magnitude,critical_direction_q_magnitude,critical_direction_q_relative_phase_rad,classification_status,classification_is_certified,direction_resolved,objective_envelope_resolved,attribution_status,overall_numerical_status
stable,0.412930181022563,-0.249506197903235,-0.249506197903235,-0.247326264382009,0.682203919353041,-0.150318298817331,-0.0991878990859035,0.491228036043783,0.577234269578873,0.384678991567847,0.923050417608022,-1.19396759053472,non-sectorial,1,1,1,resolved,resolved
stable,0.433624439641402,-0.237624951262099,-0.237624951262099,-0.235444068967804,0.672935994476645,-0.145311527612699,-0.0923134236494004,0.473818054250093,0.557142088826451,0.38225921218804,0.924055136178236,-1.18605961461262,non-sectorial,1,1,1,resolved,resolved
stable,0.455355804191134,-0.225249107887727,-0.225249107887727,-0.223067453659412,0.663314054094511,-0.139851461436605,-0.0853976464511217,0.45541673566184,0.536218841827617,0.37981417506159,0.925062804582632,-1.17751568501462,non-sectorial,1,1,1,resolved,resolved
stable,0.478176249895018,-0.212370804126781,-0.212370804126781,-0.210190464820912,0.653318862603311,-0.133910107869026,-0.0784606962577547,0.436036495477156,0.514452490565374,0.377352662481698,0.926069634594491,-1.16825059850454,non-sectorial,1,1,1,resolved,resolved
stable,0.502140356747681,-0.198984599790671,-0.198984599790671,-0.196805344463509,0.642931098637169,-0.127459011962409,-0.071525587828262,0.415702270132588,0.491835208498022,0.374887077611394,0.927070482239613,-1.15816370966312,non-sectorial,1,1,1,resolved,resolved
stable,0.527305440054887,-0.185088075987941,-0.185088075987941,-0.182906759022843,0.632131526084995,-0.120469694872228,-0.064618381115713,0.39445270853876,0.468364358582789,0.372434665087979,0.928058414239538,-1.14713509373342,non-sectorial,1,1,1,resolved,resolved
stable,0.553731687515399,-0.170682546474321,-0.170682546474321,-0.168503028241418,0.620901168667626,-0.11291428208332,-0.0577682643910006,0.372341178710733,0.444043633037749,0.370019158620673,0.929024123612325,-1.13502036727933,non-sectorial,1,1,1,resolved,resolved
stable,0.58148230317278,-0.155773905945044,-0.155773905945044,-0.153595971493571,0.609221534557489,-0.104766320043625,-0.0510075859014181,0.349436529593084,0.41888438474937,0.367673118315679,0.929955094651362,-1.12164369960978,non-sectorial,1,1,1,resolved,resolved
stable,0.610623658581427,-0.1403736462699,-0.1403736462699,-0.138192735988871,0.597074898833687,-0.0960018272838438,-0.0443718189860565,0.32582355407165,0.392907185563529,0.365441312393918,0.93083438225917,-1.10678821610005,non-sectorial,1,1,1,resolved,resolved
stable,0.641225451548396,-0.12450008346295,-0.12450008346295,-0.122318521238732,0.584444646936703,-0.0866006473337711,-0.0378994361291791,0.301603112952299,0.366143660330551,0.363385713910791,0.931638783502246,-1.09018254586585,non-sectorial,1,1,1,resolved,resolved
stable,0.673360872830666,-0.108179857004344,-0.108179857004344,-0.105998345798517,0.571315690852211,-0.07654818038929,-0.0316316766150542,0.276891903910327,0.338638672101595,0.36159309050761,0.932336010726367,-1.07148157236806,non-sectorial,1,1,1,resolved,resolved
stable,0.707106781186547,-0.0914497935699623,-0.0914497935699623,-0.089269627257117,0.557674970316504,-0.0658375980720602,-0.0256121954979021,0.251821898999576,0.310452981872717,0.360186898830644,0.932880162674051,-1.05023825174496,non-sectorial,1,1,1,resolved,resolved
stable,0.742543887199899,-0.0743592764646659,-0.0743592764646659,-0.0721865699277718,0.543512047308333,-0.0544726996870256,-0.0198865767776403,0.226539539249091,0.281666595512168,0.359346592937097,0.933204171735479,-1.02586127001636,non-sectorial,1,1,1,resolved,resolved
stable,0.779756946316818,-0.056973341023425,-0.056973341023425,-0.0547937790686313,0.528819813221317,-0.0424716261444137,-0.0145017148790113,0.201204887647774,0.252383180704187,0.359340308327026,0.933206591710238,-0.997549639115412,non-sectorial,1,1,1,resolved,resolved
stable,0.81883496155648,-0.039376842108005,-0.039376842108005,-0.0372006059116771,0.513595331750903,-0.0298717697569419,-0.00950507235106302,0.175991156877771,0.222736258535469,0.360582929646012,0.932727157773322,-0.964188522728283,non-sectorial,1,1,1,resolved,resolved
stable,0.859871396380969,-0.0216802483067075,-0.0216802483067074,-0.0194992912165953,0.497840867297984,-0.0167364041595398,-0.00494384414716762,0.151085486903272,0.192898505858285,0.363745325787174,0.931498436911186,-0.924177771647376,non-sectorial,1,1,1,resolved,resolved
stable,0.902964398233205,-0.00402803264406973,-0.00402803264406971,-0.00185863560125806,0.481565219126069,-0.00316392388313267,-0.00086410876093705,0.126692948244446,0.163096839709181,0.369974273965507,0.929041999375537,-0.875140025805177,non-sectorial,1,1,1,resolved,resolved
stable,0.94821703327763,0.0133881790610537,0.0133881790610536,0.0155438887527321,0.464785671590174,0.010698342739447,0.00268983632160669,0.103048730750407,0.133639276776372,0.381372397937032,0.924421491578251,-0.813408199174085,strict-sectorial,1,1,1,resolved,resolved
stable,0.995737532905055,0.0303049040993783,0.0303049040993783,0.0324591303829076,0.447531529928846,0.0246298493304021,0.00567505476897611,0.080452725741025,0.104970034635294,0.402148787635914,0.915574329370895,-0.733111822151747,strict-sectorial,1,1,1,resolved,resolved
stable,1.04563955259127,0.046323486699537,0.046323486699537,0.0484584109534784,0.429852526893729,0.0382785040898947,0.00804498260964233,0.0593740787199517,0.0778101993532089,0.441656947579098,0.897184006018339,-0.624615869359681,strict-sectorial,1,1,1,resolved,resolved
stable,1.09804244372852,0.0606897124730194,0.0606897124730194,0.0628273780073735,0.411845345976666,0.0509647241269666,0.00972498834605277,0.0408127486393892,0.0536222285347395,0.522568680460589,0.852597193404763,-0.472597229643785,strict-sectorial,1,1,1,resolved,resolved
stable,1.15307153907997,0.071458132521861,0.0714581325218609,0.0736148171374805,0.393749246409504,0.0609402164550024,0.0105179160668586,0.0276206985809911,0.0363158680388387,0.688872019164527,0.724882984496248,-0.258843455196287,strict-sectorial,1,1,1,resolved,resolved
stable,1.2108584525399,0.0746016802319321,0.0746016802319321,0.0767673202618882,0.376062255487345,0.0645394091033407,0.0100622711285914,0.0259246642137289,0.0340561630673263,0.890700863800217,0.454589893448533,0.0171125329048691,strict-sectorial,1,1,1,resolved,resolved
stable,1.27154139391661,0.0704922598263903,0.0704922598263902,0.0726538403032745,0.358860555495734,0.06179727042184,0.00869498940455029,0.0352215537670631,0.0461729709523778,0.970777969006004,0.239979446812802,0.352319432290866,strict-sectorial,1,1,1,resolved,resolved
stable,1.33526549949084,0.0640209477030706,0.0640209477030705,0.0661780983432627,0.341722563938752,0.0568314647181474,0.00718948298492313,0.0481034419625616,0.0628800879622357,0.989431749749326,0.144999353750241,0.757721074774889,strict-sectorial,1,1,1,resolved,resolved
stable,1.40218317914034,0.0574428945333132,0.0574428945333132,0.0595989322823355,0.324486857133426,0.0516039576375272,0.00583893689578594,0.0611717019712354,0.079702207823221,0.994154548822929,0.10796635149285,1.18574545433769,strict-sectorial,1,1,1,resolved,resolved
stable,1.47245448086079,0.0514643434285823,0.0514643434285823,0.05362144269052,0.30715618384839,0.0467597287967311,0.00470461463185121,0.0733736761995272,0.0952787833790594,0.995477448786195,0.0949981523932399,1.55923734223213,strict-sectorial,1,1,1,resolved,resolved
stable,1.54624747355496,0.0463387784446891,0.0463387784446891,0.0484971864581442,0.289784589046607,0.0425551863346738,0.00378359211001526,0.0843311646126532,0.109150295511969,0.995826423793181,0.0912673746487926,1.85263490905554,strict-sectorial,1,1,1,resolved,resolved
stable,1.62373864900557,0.0421649707124158,0.0421649707124158,0.0443232108886673,0.272445403747168,0.039111887779572,0.00305308293284379,0.0938919087953118,0.12115762141701,0.995859407227673,0.0909067711237644,2.08222725914372,strict-sectorial,1,1,1,resolved,resolved
stable,1.70511334399327,0.0389749548095289,0.0389749548095289,0.0411298212660821,0.255220587300314,0.0364908681528525,0.00248408665667637,0.10200106192571,0.131266436484542,0.99577220685777,0.0918570195989759,2.2691904161293,strict-sectorial,1,1,1,resolved,resolved
stable,1.79056618356931,0.0367659369555256,0.0367659369555256,0.0389304054784748,0.238195531206761,0.0347190977661104,0.00204683918941521,0.108656379685906,0.139504844261008,0.995622037372552,0.0934706301365744,2.42806129081318,strict-sectorial,1,1,1,resolved,resolved
stable,1.8803015465432,0.0355141185650618,0.0355141185650619,0.0376898903407568,0.221455517626779,0.0338007026236931,0.00171341594136881,0.113889327919746,0.145937182615777,0.995421591952499,0.0955816628582738,2.56730632532945,strict-sectorial,1,1,1,resolved,resolved
stable,1.9745340542984,0.0351816227317535,0.0351816227317536,0.0373632836471101,0.205082830234951,0.0337225469301962,0.00145907580155735,0.117755474932293,0.15065134650964,0.995169665771847,0.0981699359659029,2.69156185593863,strict-sectorial,1,1,1,resolved,resolved
stable,2.07348908410554,0.0357204398877756,0.0357204398877757,0.0378908637713875,0.189154287015245,0.0344575566848114,0.00126288320296426,0.120328600235283,0.153751767309074,0.994861795205538,0.101242325340806,2.80331063174862,strict-sectorial,1,1,1,resolved,resolved
