variant,state_count,factor_name,factor,tracking_status,real_per_s,imag_per_s,oscillation_frequency_hz,real_shift_from_baseline_per_s,frequency_shift_from_baseline_hz,lcl_group_total,control_state_group_total,voltage_pi_participation,current_pi_participation,active_damping_filter_participation,converter_current_participation,capacitor_voltage_participation,grid_side_filter_current_participation,condition_number,maximum_eigenpair_residual,minimum_right_mac,minimum_left_mac,maximum_normalized_eigenvalue_distance,path_steps_including_rejected_direct_attempts
12_state_omit_rfif,12,active_damping_cutoff,0.8,matched,121.69148007716666,627.8592382367636,99.92690133129288,-0.32235142092494584,-0.022079288628391022,0.8342663055110244,0.1657336944889758,0.1605411533209093,0.0031637374174677867,0.002028803750598707,0.14758339010935542,0.027366018449643734,0.6593168969520252,2.9601448434447293,4.849926405848903e-16,0.9999972993981633,0.9999968781902807,0.0005485590735801228,1
12_state_omit_rfif,12,active_damping_cutoff,1.2,matched,122.32996162883165,628.1446771298499,99.97233034207824,0.31613013074004925,0.02334972215696942,0.8330979795289282,0.16690202047107183,0.1607390881060315,0.0031640549408102096,0.002998877424230128,0.14772620028994027,0.027449226042818922,0.657922553196169,2.960779615082303,2.877532397843662e-16,0.999997336748085,0.9999969305703985,0.0005447739903188395,1
12_state_include_rfif,12,baseline,1.0,matched,123.89318932165776,629.2657131761982,100.15074877023876,0.0,0.0,0.8339230391426099,0.16607696085739007,0.16040743231913818,0.0031459033085718536,0.0025236252296800643,0.14772499439355802,0.027560753387337808,0.6586372913617141,2.95632374398684,7.193668942666836e-16,1.0,1.0,0.0,0
12_state_include_rfif,12,voltage_pi_joint_gain,0.8,matched,136.66204198083523,600.7849091195089,95.61788802138496,12.768852659177469,-4.532860748853807,0.8143540622348981,0.18564593776510183,0.1791502586239831,0.0036389957058219763,0.0028566834352967384,0.1654575138025261,0.02903679451481018,0.6198597539175619,3.3529511297343206,3.193916920954051e-16,0.9998477142210836,0.9959711351995874,0.0486666596251407,1
12_state_include_rfif,12,voltage_pi_joint_gain,1.2,matched,112.18094911906911,649.9946400720711,103.44985995070748,-11.712240202588646,3.299111180468704,0.8496995061480204,0.15030049385197974,0.14525562173496318,0.0027791326448681933,0.002265739472148369,0.13348433248962266,0.026002185335466367,0.6902129883229313,2.670148138305756,3.8415680623742343e-16,0.9999114208182421,0.9963469780847686,0.03712336495428059,1
12_state_include_rfif,12,current_pi_joint_gain,0.8,matched,133.05496686487618,601.8715469760413,95.79083180760286,9.16177754321842,-4.359916962635906,0.8164651879312779,0.18353481206872205,0.17702540279241086,0.003651944973853541,0.0028574643024576393,0.1661615051043588,0.023395581604524734,0.6269081012223944,3.0068122087156053,7.653777407216259e-16,0.9996584865697036,0.9885698485018314,0.04503903486747967,1
12_state_include_rfif,12,current_pi_joint_gain,1.2,matched,115.84213437673222,649.8901197324999,103.43322502201107,-8.05105494492554,3.2824762517723047,0.8477657660623963,0.15223423393760355,0.14719775196379162,0.0027708948083843684,0.0022655871654275834,0.13314260068409556,0.031153291826957814,0.6834698735513429,2.9530049925522555,3.5173822471596905e-16,0.9998155229003526,0.9931866779256024,0.03452135302954605,1
12_state_include_rfif,12,converter_side_filter_reactance,0.8,matched,115.17736328870154,649.1041659550829,103.3081365932934,-8.715826032956215,3.1573878230546364,0.8475886587580452,0.15241134124195482,0.14693242715180785,0.002773149925324637,0.002705764164822339,0.12727879668598402,0.03088906348264712,0.6894207985894141,3.1024075548694814,5.639747269259924e-16,0.9998228846024373,0.9997633549385699,0.03378618191284222,1
12_state_include_rfif,12,converter_side_filter_reactance,1.2,matched,131.17503345777624,611.0633787762722,97.25375727467889,7.28184413611848,-2.896991495559876,0.8218492176944837,0.17815078230551618,0.17228862208708495,0.003493360803985247,0.002368799414445981,0.16552800027664,0.02483762416002109,0.6314835932578227,2.83080112566868,9.260781802101995e-16,0.9998452836948019,0.9997900182549616,0.030568286437136966,1
12_state_include_rfif,12,filter_capacitor_susceptance,0.8,matched,120.09658759555492,629.5673091761265,100.19874926444409,-3.7966017261028355,0.04800049420532889,0.8359252909577295,0.16407470904227037,0.15839718699024147,0.003156337672773495,0.002521184379255424,0.14819850900699633,0.021963801728186738,0.6657629802225464,2.9499216930689673,5.888596917779485e-16,0.9999933722034456,0.9996179378532042,0.005938387797587463,1
12_state_include_rfif,12,filter_capacitor_susceptance,1.2,matched,127.70463349866304,628.7937966913994,100.07564092895647,3.811444177005285,-0.07510784128228659,0.8318596786027768,0.16814032139722318,0.16248196407611712,0.0031339647409637838,0.002524392580142293,0.14715644167268183,0.03316446751411577,0.6515387694159792,2.961268940516778,5.42236840965306e-16,0.9999932469227549,0.9996182704987564,0.005988261557457412,1
12_state_include_rfif,12,grid_side_filter_reactance,0.8,matched,153.8089075788172,664.7925080719328,105.80501379010684,29.915718257159455,5.65426501986808,0.813282498490733,0.18671750150926708,0.1808355276752917,0.0034230263917642174,0.0024589474422111583,0.1750247013012423,0.03063886724796432,0.6076189299415263,3.2211224214058016,4.846956000117537e-16,0.9999130396813601,0.9966275377563922,0.07241741157845116,1
12_state_include_rfif,12,grid_side_filter_reactance,1.2,matched,102.34179910510164,601.1649122449228,95.67836739718494,-21.551390216556115,-4.472381373053823,0.8507726144463923,0.1492273855536076,0.14378755487047573,0.0029093899077288097,0.0025304407754030435,0.12743587805714623,0.024831888762331417,0.6985048476269147,2.7420121111734113,5.556569459530257e-16,0.9999484074992269,0.9970049451293098,0.05521748515801886,1
12_state_include_rfif,12,active_damping_gain,0.8,matched,123.18585756317722,633.886189237757,100.88612037487361,-0.7073317584805352,0.7353716046348472,0.836616511377292,0.1633834886227081,0.1582528334456869,0.0030736060351568093,0.002057049141864378,0.1505353973281661,0.028446939400275553,0.6576341746488503,2.9945824718727914,5.793597509082448e-16,0.9999915510913752,0.9994705677077685,0.007288270255630011,1
12_state_include_rfif,12,active_damping_gain,1.2,matched,124.50764045888887,624.79930442156,99.43989773906918,0.6144511372311143,-0.7108510311695896,0.8313753765534092,0.16862462344659096,0.16243629029233825,0.003215230130266729,0.0029731030239859785,0.14501966666261748,0.0267183475046939,0.6596373623860978,2.9216476045054423,5.831003868857947e-16,0.9999920069430795,0.9994805437747116,0.007029708216230255,1
12_state_include_rfif,12,active_damping_cutoff,0.8,matched,123.56828823857637,629.128453784569,100.1289032595752,-0.3249010830813859,-0.021845510663571308,0.8345190439429575,0.16548095605704255,0.16030188619161362,0.0031455831811940315,0.0020334866842348924,0.1476576748996884,0.027519996909781224,0.6593413721334879,2.956034752389962,4.873406380342068e-16,0.9999972769929614,0.9999968969331458,0.0005499449294790515,1
12_state_include_rfif,12,active_damping_cutoff,1.2,matched,124.21188712972543,629.4109988423168,100.17387170216193,0.3186978080676681,0.023122931923161973,0.8333414624925478,0.1666585375074521,0.16050702497522218,0.0031460672935790636,0.00300544523865087,0.14779729400493313,0.02760284230160804,0.6579413261860066,2.9566336455296853,2.9712724628923095e-16,0.9999973149382423,0.9999969492644463,0.0005461195319214428,1
